source_section,website_product_name,top_products_pcode_reference_only,products_json_code,status,suggested_lookup_code,candidate_lookup_code,lookup_source,match_score,matched_product_name,matched_category,matched_price,matched_unit,matched_open_price,matched_product_id,active_lookup_count,products_json_code_lookup_count,products_json_code_matches_suggested
top_products,CARROTS 1 KG,19524,,safe,20120,20120,loose_active_db_name,1,Carrot Bag 1kg,Vegetables,2.69,each,0,p-kb-pg4-carrot-bag,1,,
top_products,CARROTS 1 KG BAG,27875,,safe,9332907005019,9332907005019,exact_active_db_name,1,CARROTS 1 KG BAG,Vegetables,2.69,each,0,d5b6b1ca-7b93-45ff-a94d-7921a6b298ff,1,,
top_products,CHIVES BUNCH,10915,,safe,1922,1922,exact_active_db_name,1,CHIVES BUNCH,Fresh Herbs,3.89,each,0,960f29a5-32db-4100-863c-cb2a8d455812,1,,
top_products,COCO THUMB SIP DRINKING,27340,,safe,8858754200052,8858754200052,loose_active_db_name,1,COCO THUMB SIP DRINKING COCONUT,Fruit,4.49,each,0,49c38d7b-0fca-42a0-8e82-55721140f9a7,1,,
top_products,COCONUTS DRY SKIN EA,1007889,,safe,4382,4382,curated_produce_alias,1,COCONUTS EA,Fruit,6.99,each,0,6f0e865c-b66d-45d9-886a-3c609cdc7dff,1,,
top_products,CORIANDER FRESH  LGE BUNCH,1007728,,safe,3282,3282,exact_active_db_name,1,CORIANDER FRESH LGE BUNCH,Fresh Herbs,3.89,each,0,4a57a23c-dd31-45ea-9c67-382c053f74f7,1,,
top_products,CUCUMBER BUCKET KG,27337,,safe,9113,9113,loose_active_db_name,1,CUCUMBER BUCKET,Vegetables,1.99,each,0,e80add1e-42c3-4250-a486-b9ee69d0543a,1,,
top_products,CURRY LEAVES 15G,22593,,safe,9329539000079,9329539000079,exact_active_db_name,1,CURRY LEAVES 15G,Fruit,3.99,each,0,4ed62a6e-e814-4f6c-83bd-3cdcda2db210,1,,
top_products,CUSTARD APPLE KG,1007892,,safe,20332,20332,loose_active_db_name,1,Custard Apple,Fruit,12.99,kg,0,p-kb-pg2-custard-apple,1,,
top_products,DELICIOUS MIX 160G,24601,,safe,9315054002278,9315054002278,exact_active_db_name,1,DELICIOUS MIX 160G,Dried Fruit & Nuts,7.85,each,0,1d635557-29a8-4780-921e-2c7c02f42332,1,,
top_products,DILL LARGE BUNCH,16676,,safe,9172,9172,exact_active_db_name,1,DILL LARGE BUNCH,Fresh Herbs,3.89,each,0,98aef68a-3139-480c-9220-dd36373b5103,1,,
top_products,FETTA,1008093,,manual_review,,9322515012417,best_active_db_name_match,0.67,FETTA PERSIAN,Deli,11.5,each,0,4c8e835c-ac37-4a89-89d2-c3e91ad6cbf1,1,,
top_products,GARLIC AUSTRALIAN,391,,safe,20140,20140,loose_active_db_name,1,Garlic,Garlic,28.9,kg,0,p-kb-pg28-garlic-kg,1,,
top_products,GARLIC KG,1001531,,safe,1851,1851,exact_active_db_name,1,GARLIC KG,Vegetables,28.9,kg,0,0c86ef83-ca6b-4839-9f10-123885c08ecf,1,,
top_products,GINGER CRYSTALISED 200G,24613,,safe,9315054009550,9315054009550,exact_active_db_name,1,GINGER CRYSTALISED 200G,Dried Fruit & Nuts,6.85,each,0,c9c272e7-7779-469f-9e22-a39c7587544d,1,,
top_products,GOLDEN QUEEN,1008116,,safe,4044,4044,exact_active_db_name,1,Golden Queen,Fruit,0,kg,1,p-open-pg20-btn1,1,,
top_products,GRANNY SMITH SMALL KG,1007806,,safe,4075,4075,curated_produce_alias,1,APPLE GRANNY SMITH SML KG,Fruit,4.99,kg,0,price-list-4075,1,,
top_products,GRAPES,1007906,,safe,20090,20090,loose_active_db_name,1,Grape Punnet,Fruit,6.99,each,0,p-kb-pg11-grapes-bag,1,,
top_products,GREEN CHILLI SWEET KG,1007364,,safe,1541,1541,curated_produce_alias,1,Green Sweet (Banana),Vegetables,9.99,kg,0,a85cef40-a7a9-420b-9eaf-db946a9a7ea6,1,,
top_products,JAP PUMPKIN OUTSIDE KG,7318,,safe,20226,20226,loose_active_db_name,1,Jap Pumpkin,Pumpkins,2.49,kg,0,p-kb-pg33-jap,1,,
top_products,JAZZ APPLE KG,19000,,safe,3812,3812,exact_active_db_name,1,JAZZ  APPLE  KG,Fruit,7.99,kg,0,price-list-3812,1,,
top_products,KAFFIR LIME LEAF,22626,,safe,9329539000314,9329539000314,exact_active_db_name,1,KAFFIR LIME LEAF,Fruit,3.99,each,0,68a8f9e5-d1e2-4753-8c47-7bd8578323fa,1,,
top_products,KG LYCHEE,1007971,,safe,20032,20032,loose_active_db_name,1,Lychee,Fruit,14.99,kg,0,p-kb-pg2-lychee,1,,
top_products,KIWI FRUIT GOLD EA,1008295,,safe,5984,5984,loose_active_db_name,1,KIWI FRUIT GOLD EACH,Fruit,2.89,each,0,7e113f6f-3c65-49b2-9280-235659c394df,1,,
top_products,LARGE HERB BUNCH,16674,,safe,9152,9152,exact_active_db_name,1,LARGE HERB BUNCH,Fresh Herbs,3.89,each,0,1304f4e8-fe06-4afc-8ef6-3ca88d90460f,1,,
top_products,LEMON GRASS,27167,,safe,7233,7233,exact_active_db_name,1,LEMON GRASS,Fresh Herbs,3.89,each,0,d85bffca-ded8-472e-868c-ea3e5acb3986,1,,
top_products,LETTUCE ICEBERG EA.,1007472,,safe,2252,2252,exact_active_db_name,1,LETTUCE ICEBERG EA,Vegetables,1.49,each,0,d2279c07-edc1-439b-85d2-67d703e029e3,1,,
top_products,LITTLE DARLINGS BLUEBERRIES,27876,,safe,9421007560242,9421007560242,curated_produce_alias,1,LITTLE DARLINGS BLUEBERRIES 125G,Fruit,7.99,each,0,5ad7dbab-6aca-4431-a7bd-7fc52780fdba,1,,
top_products,MANDARINES AFROURER KG,1008281,,safe,5791,5791,curated_produce_alias,1,Afourer,Fruit,0,kg,1,p-kb-pg15-btn5,1,,
top_products,MANDARINES MURCOTT KG,1007969,,safe,4665,4665,curated_produce_alias,1,Honey Murcott,Fruit,5.89,kg,0,p-kb-pg15-btn1,1,,
